shoesize 	height 	class
8.518110459 	73.02945995 	seniors
10.30152657 	68.95967699 	seniors
7.386575344 	73.55804245 	seniors
9.477281047 	68.19555849 	seniors
10.91038886 	75.14467248 	seniors
8.25020185 	75.99638944 	seniors
6.815541194 	79.56042128 	seniors
8.911967807 	63.614433 	seniors
9.991432568 	66.06858105 	seniors
9.240619287 	73.40188355 	seniors
10.51692546 	64.73745093 	seniors
10.47094053 	70.91668961 	seniors
10.07589935 	73.36368321 	seniors
11.03838364 	74.77037255 	seniors
9.282236736 	67.37531337 	seniors
9.682181162 	71.28721365 	seniors
8.488743491 	64.65449244 	seniors
10.53867123 	66.85863044 	seniors
9.571105221 	68.74769385 	seniors
9.543223288 	59.81342055 	fourth
7.051013777 	58.76808382 	fourth
7.133094816 	59.87503185 	fourth
5.977637066 	62.44863883 	fourth
6.672641413 	57.69913189 	fourth
6.364967922 	58.96868393 	fourth
7.119551659 	59.1440402 	fourth
6.312160711 	56.62269742 	fourth
7.666711877 	57.79681879 	fourth
5.558711022 	60.85952304 	fourth
6.755368305 	61.4062961 	fourth
7.729694352 	56.54293454 	fourth
7.935688365 	54.67077972 	fourth
7.721872343 	59.07863078 	fourth
6.790728087 	56.50626255 	fourth
6.671880403 	51.08110067 	fourth
6.90487642 	59.82349575 	fourth
6.281759494 	56.52330894 	fourth
6.407945957 	54.54064242 	fourth
