City ,Number of weekly riders,Price per week,Population of city,Monthly income of riders,Average parking rates per month,
1,192000.00,15.00,1800000.00,5800.00,50.00,
2,190400.00,15.00,1790000.00,6200.00,50.00,
3,191200.00,15.00,1780000.00,6400.00,60.00,
4,177600.00,25.00,1778000.00,6500.00,60.00,
5,176800.00,25.00,1750000.00,6550.00,60.00,
6,178400.00,25.00,1740000.00,6580.00,70.00,
7,180800.00,25.00,1725000.00,8200.00,75.00,
8,175200.00,30.00,1725000.00,8600.00,75.00,
9,174400.00,30.00,1720000.00,8800.00,75.00,
10,173920.00,30.00,1705000.00,9200.00,80.00,
11,172800.00,30.00,1710000.00,9630.00,80.00,
12,163200.00,40.00,1700000.00,10570.00,80.00,
13,161600.00,40.00,1695000.00,11330.00,85.00,
14,161600.00,40.00,1695000.00,11600.00,100.00,
15,160800.00,40.00,1690000.00,11800.00,105.00,
16,159200.00,40.00,1630000.00,11830.00,105.00,
17,148800.00,65.00,1640000.00,12650.00,105.00,
18,115696.00,102.00,1635000.00,13000.00,110.00,
19,147200.00,75.00,1630000.00,13224.00,125.00,
20,150400.00,75.00,1620000.00,13766.00,130.00,
21,152000.00,75.00,1615000.00,14010.00,150.00,
22,136000.00,80.00,1605000.00,14468.00,155.00,
23,126240.00,86.00,1590000.00,15000.00,165.00,
24,123888.00,98.00,1595000.00,15200.00,175.00,
25,126080.00,87.00,1590000.00,15600.00,175.00,
26,151680.00,77.00,1600000.00,16000.00,190.00,
27,152800.00,63.00,1610000.00,16200.00,200.00,

